"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2015","772.00","772.00","772.00","772.00","-","0.13%"
"Apr 09, 2015","771.00","771.00","771.00","771.00","-","0.92%"
"Apr 08, 2015","764.00","764.00","764.00","764.00","-","-1.55%"
"Apr 07, 2015","776.00","776.00","776.00","776.00","-","-2.39%"
"Apr 02, 2015","795.00","795.00","795.00","795.00","-","-1.12%"
"Apr 01, 2015","804.00","804.00","804.00","804.00","-","-0.62%"
"Mar 31, 2015","809.00","809.00","809.00","809.00","-","2.15%"
"Mar 30, 2015","792.00","792.00","792.00","792.00","-","-1.12%"
"Mar 27, 2015","801.00","801.00","801.00","801.00","-","-1.23%"
"Mar 26, 2015","811.00","811.00","811.00","811.00","-","-0.25%"
"Mar 25, 2015","813.00","813.00","813.00","813.00","-","1.25%"
"Mar 24, 2015","803.00","803.00","803.00","803.00","-","2.16%"
"Mar 23, 2015","786.00","786.00","786.00","786.00","-","2.21%"
"Mar 20, 2015","769.00","769.00","769.00","769.00","-","-0.39%"
"Mar 19, 2015","772.00","772.00","772.00","772.00","-","-1.40%"
"Mar 18, 2015","783.00","783.00","783.00","783.00","-","-1.63%"
"Mar 17, 2015","796.00","796.00","796.00","796.00","-","-1.61%"
"Mar 16, 2015","809.00","809.00","809.00","809.00","-","-0.37%"
"Mar 13, 2015","812.00","812.00","812.00","812.00","-","-0.49%"
"Mar 12, 2015","816.00","816.00","816.00","816.00","-","-0.24%"
"Mar 11, 2015","818.00","818.00","818.00","818.00","-","-1.09%"
"Mar 10, 2015","827.00","827.00","827.00","827.00","-","-1.19%"
"Mar 09, 2015","837.00","837.00","837.00","837.00","-","-1.30%"
"Mar 06, 2015","848.00","848.00","848.00","848.00","-","-0.35%"
"Mar 05, 2015","851.00","851.00","851.00","851.00","-","0.83%"
"Mar 04, 2015","844.00","844.00","844.00","844.00","-","1.08%"
"Mar 03, 2015","835.00","835.00","835.00","835.00","-","0.00%"
"Mar 02, 2015","835.00","835.00","835.00","835.00","-","-0.71%"
"Feb 27, 2015","841.00","841.00","841.00","841.00","-","0.48%"
"Feb 26, 2015","837.00","837.00","837.00","837.00","-","-0.12%"
"Feb 25, 2015","838.00","838.00","838.00","838.00","-","0.00%"
"Feb 24, 2015","838.00","838.00","838.00","838.00","-","0.00%"
"Feb 23, 2015","838.00","838.00","838.00","838.00","-","-0.24%"
"Feb 20, 2015","840.00","840.00","840.00","840.00","-","-0.12%"
"Feb 19, 2015","841.00","841.00","841.00","841.00","-","-0.47%"
"Feb 18, 2015","845.00","845.00","845.00","845.00","-","0.48%"
"Feb 17, 2015","841.00","841.00","841.00","841.00","-","-1.41%"
"Feb 16, 2015","853.00","853.00","853.00","853.00","-","-1.16%"
"Feb 13, 2015","863.00","863.00","863.00","863.00","-","-0.46%"
"Feb 12, 2015","867.00","867.00","867.00","867.00","-","-0.34%"
"Feb 11, 2015","870.00","870.00","870.00","870.00","-","-1.81%"
"Feb 10, 2015","886.00","886.00","886.00","886.00","-","-1.56%"
"Feb 09, 2015","900.00","900.00","900.00","900.00","-","-2.17%"
"Feb 06, 2015","920.00","920.00","920.00","920.00","-","-0.22%"
"Feb 05, 2015","922.00","922.00","922.00","922.00","-","1.32%"
"Feb 04, 2015","910.00","910.00","910.00","910.00","-","0.66%"
"Feb 03, 2015","904.00","904.00","904.00","904.00","-","1.12%"
"Feb 02, 2015","894.00","894.00","894.00","894.00","-","3.59%"
"Jan 30, 2015","863.00","863.00","863.00","863.00","-","-0.58%"
"Jan 29, 2015","868.00","868.00","868.00","868.00","-","-0.23%"
"Jan 28, 2015","870.00","870.00","870.00","870.00","-","-0.91%"
"Jan 27, 2015","878.00","878.00","878.00","878.00","-","-1.24%"
"Jan 26, 2015","889.00","889.00","889.00","889.00","-","-3.05%"
"Jan 23, 2015","917.00","917.00","917.00","917.00","-","-1.82%"
"Jan 22, 2015","934.00","934.00","934.00","934.00","-","-1.27%"
"Jan 21, 2015","946.00","946.00","946.00","946.00","-","-0.73%"
"Jan 20, 2015","953.00","953.00","953.00","953.00","-","0.53%"
"Jan 19, 2015","948.00","948.00","948.00","948.00","-","-0.21%"
"Jan 16, 2015","950.00","950.00","950.00","950.00","-","0.85%"
"Jan 15, 2015","942.00","942.00","942.00","942.00","-","0.53%"
"Jan 14, 2015","937.00","937.00","937.00","937.00","-","0.43%"
"Jan 13, 2015","933.00","933.00","933.00","933.00","-","2.08%"
"Jan 12, 2015","914.00","914.00","914.00","914.00","-","0.99%"
"Jan 09, 2015","905.00","905.00","905.00","905.00","-","1.12%"
"Jan 08, 2015","895.00","895.00","895.00","895.00","-","1.24%"
"Jan 07, 2015","884.00","884.00","884.00","884.00","-","0.00%"
"Jan 06, 2015","884.00","884.00","884.00","884.00","-","0.00%"
"Jan 05, 2015","884.00","884.00","884.00","884.00","-","-0.11%"
"Jan 02, 2015","885.00","885.00","885.00","885.00","-","2.67%"
"Dec 24, 2014","862.00","862.00","862.00","862.00","-","0.00%"
"Dec 23, 2014","862.00","862.00","862.00","862.00","-","-1.15%"
"Dec 22, 2014","872.00","872.00","872.00","872.00","-","-0.57%"
"Dec 19, 2014","877.00","877.00","877.00","877.00","-","-0.45%"
"Dec 18, 2014","881.00","881.00","881.00","881.00","-","-0.79%"
"Dec 17, 2014","888.00","888.00","888.00","888.00","-","0.23%"
"Dec 16, 2014","886.00","886.00","886.00","886.00","-","1.72%"
"Dec 15, 2014","871.00","871.00","871.00","871.00","-","1.63%"
"Dec 12, 2014","857.00","857.00","857.00","857.00","-","1.78%"
"Dec 11, 2014","842.00","842.00","842.00","842.00","-","0.84%"
"Dec 10, 2014","835.00","835.00","835.00","835.00","-","1.33%"
"Dec 09, 2014","824.00","824.00","824.00","824.00","-","0.73%"
"Dec 08, 2014","818.00","818.00","818.00","818.00","-","0.37%"
"Dec 05, 2014","815.00","815.00","815.00","815.00","-","-0.37%"
"Dec 04, 2014","818.00","818.00","818.00","818.00","-","-0.97%"
"Dec 03, 2014","826.00","826.00","826.00","826.00","-","-0.84%"
"Dec 02, 2014","833.00","833.00","833.00","833.00","-","-2.12%"
"Dec 01, 2014","851.00","851.00","851.00","851.00","-","-1.73%"
"Nov 28, 2014","866.00","866.00","866.00","866.00","-","-3.02%"
"Nov 27, 2014","893.00","893.00","893.00","893.00","-","-4.90%"
"Nov 26, 2014","939.00","939.00","939.00","939.00","-","-0.84%"
"Nov 25, 2014","947.00","947.00","947.00","947.00","-","-1.35%"
"Nov 24, 2014","960.00","960.00","960.00","960.00","-","-1.54%"
"Nov 21, 2014","975.00","975.00","975.00","975.00","-","0.21%"
"Nov 20, 2014","973.00","973.00","973.00","973.00","-","0.93%"
"Nov 19, 2014","964.00","964.00","964.00","964.00","-","2.88%"
"Nov 18, 2014","937.00","937.00","937.00","937.00","-","3.08%"
"Nov 17, 2014","909.00","909.00","909.00","909.00","-","4.36%"
"Nov 14, 2014","871.00","871.00","871.00","871.00","-","0.69%"
"Nov 13, 2014","865.00","865.00","865.00","865.00","-","2.61%"
"Nov 12, 2014","843.00","843.00","843.00","843.00","-","0.96%"
"Nov 11, 2014","835.00","835.00","835.00","835.00","-","-0.48%"
"Nov 10, 2014","839.00","839.00","839.00","839.00","-","0.00%"
"Nov 07, 2014","839.00","839.00","839.00","839.00","-","0.72%"
"Nov 06, 2014","833.00","833.00","833.00","833.00","-","0.97%"
"Nov 05, 2014","825.00","825.00","825.00","825.00","-","0.61%"
"Nov 04, 2014","820.00","820.00","820.00","820.00","-","0.86%"
"Nov 03, 2014","813.00","813.00","813.00","813.00","-","0.49%"
"Oct 31, 2014","809.00","809.00","809.00","809.00","-","1.76%"
"Oct 30, 2014","795.00","795.00","795.00","795.00","-","2.32%"
"Oct 29, 2014","777.00","777.00","777.00","777.00","-","3.05%"
"Oct 28, 2014","754.00","754.00","754.00","754.00","-","2.59%"
"Oct 27, 2014","735.00","735.00","735.00","735.00","-","2.65%"
"Oct 24, 2014","716.00","716.00","716.00","716.00","-","2.43%"
"Oct 23, 2014","699.00","699.00","699.00","699.00","-","0.00%"
"Oct 22, 2014","699.00","699.00","699.00","699.00","-","-0.57%"
"Oct 21, 2014","703.00","703.00","703.00","703.00","-","0.14%"
"Oct 20, 2014","702.00","702.00","702.00","702.00","-","0.29%"
"Oct 17, 2014","700.00","700.00","700.00","700.00","-","0.29%"
"Oct 16, 2014","698.00","698.00","698.00","698.00","-","0.58%"
"Oct 15, 2014","694.00","694.00","694.00","694.00","-","0.73%"
"Oct 14, 2014","689.00","689.00","689.00","689.00","-","0.88%"
"Oct 13, 2014","683.00","683.00","683.00","683.00","-","0.74%"
"Oct 10, 2014","678.00","678.00","678.00","678.00","-","0.59%"
"Oct 09, 2014","674.00","674.00","674.00","674.00","-","1.51%"
"Oct 08, 2014","664.00","664.00","664.00","664.00","-","1.07%"
"Oct 07, 2014","657.00","657.00","657.00","657.00","-","1.23%"
"Oct 06, 2014","649.00","649.00","649.00","649.00","-","0.62%"
"Oct 03, 2014","645.00","645.00","645.00","645.00","-","0.94%"
"Oct 02, 2014","639.00","639.00","639.00","639.00","-","0.00%"
"Oct 01, 2014","639.00","639.00","639.00","639.00","-","2.57%"
"Sep 30, 2014","623.00","623.00","623.00","623.00","-","1.63%"
"Sep 29, 2014","613.00","613.00","613.00","613.00","-","0.33%"
"Sep 26, 2014","611.00","611.00","611.00","611.00","-","0.49%"
"Sep 25, 2014","608.00","608.00","608.00","608.00","-","0.50%"
"Sep 24, 2014","605.00","605.00","605.00","605.00","-","0.17%"
"Sep 23, 2014","604.00","604.00","604.00","604.00","-","-0.49%"
"Sep 22, 2014","607.00","607.00","607.00","607.00","-","-0.82%"
"Sep 19, 2014","612.00","612.00","612.00","612.00","-","-0.49%"
"Sep 18, 2014","615.00","615.00","615.00","615.00","-","-1.60%"
"Sep 17, 2014","625.00","625.00","625.00","625.00","-","-0.79%"
"Sep 16, 2014","630.00","630.00","630.00","630.00","-","-0.79%"
"Sep 15, 2014","635.00","635.00","635.00","635.00","-","-0.78%"
"Sep 12, 2014","640.00","640.00","640.00","640.00","-","-0.78%"
"Sep 11, 2014","645.00","645.00","645.00","645.00","-","-1.07%"
"Sep 10, 2014","652.00","652.00","652.00","652.00","-","-1.21%"
"Sep 09, 2014","660.00","660.00","660.00","660.00","-","-0.75%"
"Sep 08, 2014","665.00","665.00","665.00","665.00","-","-1.34%"
"Sep 05, 2014","674.00","674.00","674.00","674.00","-","-0.44%"
"Sep 04, 2014","677.00","677.00","677.00","677.00","-","-0.73%"
"Sep 03, 2014","682.00","682.00","682.00","682.00","-","-0.73%"
"Sep 02, 2014","687.00","687.00","687.00","687.00","-","-0.87%"
"Sep 01, 2014","693.00","693.00","693.00","693.00","-","-0.86%"
"Aug 29, 2014","699.00","699.00","699.00","699.00","-","-3.19%"
"Aug 28, 2014","722.00","722.00","722.00","722.00","-","-1.77%"
"Aug 27, 2014","735.00","735.00","735.00","735.00","-","-0.94%"
"Aug 26, 2014","742.00","742.00","742.00","742.00","-","-2.24%"
"Aug 22, 2014","759.00","759.00","759.00","759.00","-","-0.26%"
"Aug 21, 2014","761.00","761.00","761.00","761.00","-","-0.91%"
"Aug 20, 2014","768.00","768.00","768.00","768.00","-","1.19%"
"Aug 19, 2014","759.00","759.00","759.00","759.00","-","1.34%"
"Aug 18, 2014","749.00","749.00","749.00","749.00","-","0.27%"
"Aug 15, 2014","747.00","747.00","747.00","747.00","-","-0.13%"
"Aug 14, 2014","748.00","748.00","748.00","748.00","-","-0.66%"
"Aug 13, 2014","753.00","753.00","753.00","753.00","-","-1.18%"
"Aug 12, 2014","762.00","762.00","762.00","762.00","-","-3.91%"
"Aug 11, 2014","793.00","793.00","793.00","793.00","-","-1.73%"
"Aug 08, 2014","807.00","807.00","807.00","807.00","-","-0.49%"
"Aug 07, 2014","811.00","811.00","811.00","811.00","-","2.14%"
"Aug 06, 2014","794.00","794.00","794.00","794.00","-","-0.75%"
"Aug 05, 2014","800.00","800.00","800.00","800.00","-","-1.84%"
"Aug 04, 2014","815.00","815.00","815.00","815.00","-","-1.33%"
"Aug 01, 2014","826.00","826.00","826.00","826.00","-","-0.84%"
"Jul 31, 2014","833.00","833.00","833.00","833.00","-","-1.07%"
"Jul 30, 2014","842.00","842.00","842.00","842.00","-","-0.71%"
"Jul 29, 2014","848.00","848.00","848.00","848.00","-","-1.62%"
"Jul 28, 2014","862.00","862.00","862.00","862.00","-","-3.25%"
"Jul 25, 2014","891.00","891.00","891.00","891.00","-","-4.30%"
"Jul 24, 2014","931.00","931.00","931.00","931.00","-","-1.59%"
"Jul 23, 2014","946.00","946.00","946.00","946.00","-","-0.94%"
